Card Id,Seconds Spent in Reviewing
1677471677506,2.9208807945251465
1675487784891,2.688692092895508
1675497357892,12.912091732025146
1676611728454,40.94553184509277
1677321497478,3.714118003845215
1677045318266,8.054128646850586
1677045589577,0.19928908348083496
1677045845436,0.18010330200195312
1677385217722,0.1309342384338379
1677384818098,0.06120038032531738
1677495280611,0.021067142486572266
1677495711303,0.02107071876525879
1677506175976,0.036118268966674805
1677508284563,0.05768990516662598
1677553047225,0.08227157592773438
1677553400156,15.935749292373657
